timetag,open,high,low,close,volumn,amount
20120528,2.007,2.051,2.001,2.049,12775187.0,3285755320.00
20120529,2.047,2.093,2.047,2.080,7149490.0,1875593354.00
20120530,2.079,2.082,2.071,2.074,2658871.0,701725789.00
20120531,2.062,2.081,2.056,2.069,1781559.0,468193104.00
20120601,2.068,2.093,2.061,2.069,1793500.0,473477195.00
20120604,2.046,2.049,2.010,2.012,5460742.0,1413413525.00
20120605,2.016,2.023,2.011,2.015,1271674.0,326150601.00
20120606,2.016,2.025,2.005,2.013,1369227.0,350839411.00
20120607,2.028,2.032,1.995,2.001,3364240.0,860028328.00
20120608,2.012,2.014,1.990,1.994,2101822.0,534630030.00
20120611,2.001,2.027,1.995,2.017,2254555.0,576327103.00
20120612,2.006,2.016,1.997,2.005,1577237.0,401878820.00
20120613,2.014,2.036,2.006,2.034,1881335.0,483872804.00
20120614,2.030,2.044,2.023,2.025,1525546.0,394044038.00
20120615,2.031,2.041,2.012,2.033,1598352.0,411542174.00
20120618,2.037,2.052,2.036,2.039,1321265.0,342959058.00
20120619,2.038,2.038,2.023,2.024,1050116.0,270933104.00
20120620,2.030,2.035,2.022,2.022,1192773.0,307520556.00
20120621,2.016,2.017,1.980,1.990,1792241.0,453655580.00
20120625,1.988,1.988,1.948,1.951,2314811.0,579443696.00
20120626,1.945,1.955,1.937,1.951,1852289.0,458451961.00
20120627,1.949,1.961,1.943,1.944,1513657.0,375457752.00
20120628,1.951,1.956,1.931,1.933,1695739.0,418670239.00
20120629,1.928,1.957,1.926,1.955,1972042.0,486289905.00
20120702,1.963,1.963,1.948,1.955,1862222.0,463059443.00
20120703,1.957,1.979,1.953,1.958,1469031.0,367051138.00
20120704,1.962,1.970,1.954,1.958,1103364.0,275036931.00
20120705,1.950,1.950,1.929,1.936,2087739.0,513592301.00
20120706,1.940,1.976,1.929,1.968,1757978.0,436554831.00
20120709,1.958,1.966,1.926,1.928,1648643.0,408098778.00
20120710,1.927,1.930,1.918,1.920,2041959.0,499158637.00
20120711,1.918,1.934,1.916,1.929,1692976.0,414092857.00
20120712,1.924,1.957,1.917,1.946,2660444.0,655043267.00
20120713,1.946,1.964,1.944,1.949,1778904.0,441479099.00
20120716,1.952,1.953,1.917,1.918,2273611.0,556372742.00
20120717,1.917,1.927,1.913,1.922,2585328.0,630134240.00
20120718,1.920,1.928,1.893,1.922,3152959.0,766719579.00
20120719,1.920,1.946,1.917,1.928,3380439.0,830268783.00
20120720,1.924,1.928,1.909,1.914,2702978.0,659710351.00
20120723,1.897,1.897,1.882,1.890,1856885.0,445845218.00
20120724,1.886,1.906,1.884,1.894,2304236.0,554385067.00
20120725,1.888,1.899,1.880,1.883,1389067.0,333627584.00
20120726,1.884,1.894,1.872,1.874,2548959.0,610152261.00
20120727,1.879,1.885,1.870,1.876,3724685.0,888581778.00
20120730,1.879,1.887,1.866,1.870,2303206.0,549167623.00
20120731,1.871,1.876,1.861,1.865,4214983.0,1001090738.00
20120801,1.866,1.889,1.866,1.879,2615555.0,624664260.00
20120802,1.877,1.879,1.856,1.865,2087258.0,495894114.00
20120803,1.868,1.877,1.863,1.876,1737366.0,412710948.00
20120806,1.875,1.904,1.874,1.901,3144257.0,755432645.00
20120807,1.900,1.905,1.898,1.903,2584403.0,624693716.00
20120808,1.906,1.916,1.901,1.905,2329502.0,564756029.00
20120809,1.905,1.926,1.898,1.924,2010003.0,488752019.00
20120810,1.925,1.925,1.914,1.918,1118701.0,273056082.00
20120813,1.913,1.913,1.879,1.882,2959366.0,713474273.00
20120814,1.883,1.885,1.857,1.879,3226022.0,767577944.00
20120815,1.875,1.875,1.860,1.861,1910109.0,453117708.00
20120816,1.862,1.865,1.854,1.856,1228662.0,290402422.00
20120817,1.856,1.857,1.837,1.848,1757265.0,412189237.00
20120820,1.835,1.843,1.764,1.838,1705061.0,396240929.00
20120821,1.838,1.862,1.835,1.845,2348894.0,552081888.00
20120822,1.846,1.848,1.828,1.831,1298019.0,302900817.00
20120823,1.835,1.847,1.827,1.840,1670546.0,390070494.00
20120824,1.833,1.835,1.820,1.822,1584418.0,367720684.00
20120827,1.813,1.813,1.783,1.784,3143233.0,716814677.00
20120828,1.782,1.797,1.778,1.784,2176241.0,493740043.00
20120829,1.780,1.789,1.770,1.772,2133281.0,482331412.00
20120830,1.767,1.774,1.751,1.765,2326744.0,521648616.00
20120831,1.762,1.771,1.761,1.765,2031862.0,456087329.00
20120903,1.761,1.786,1.757,1.776,2388425.0,538901338.00
20120904,1.779,1.783,1.756,1.757,2247647.0,506401971.00
20120905,1.757,1.763,1.749,1.756,2181559.0,486821063.00
20120906,1.758,1.773,1.756,1.773,1696507.0,380480259.00
20120907,1.783,1.876,1.783,1.854,5589337.0,1308147825.00
20120910,1.857,1.865,1.851,1.861,2390915.0,564596260.00
20120911,1.848,1.849,1.834,1.846,2863742.0,670007779.00
20120912,1.861,1.871,1.836,1.856,2773826.0,652823793.00
20120913,1.850,1.859,1.837,1.838,2056526.0,483482351.00
20120914,1.852,1.865,1.837,1.850,3237676.0,762010302.00
20120917,1.846,1.847,1.806,1.807,2706171.0,628467027.00
20120918,1.795,1.799,1.780,1.785,2229305.0,507931997.00
